JAVA工程师,统招本科,12-20k·13薪,广东倍智测聘网络科技股份有限公司,3-5年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-天河区</a>"
Java开发工程师,大专及以上,11-15k·12薪,上海华钦信息科技股份有限公司,1-3年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-海珠区</a>"
Java开发工程师,本科及以上,6-10k·12薪,易票联支付有限公司,1-3年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-海珠区</a>"
Java中高级开发工程师,统招本科,10-20k·12薪,广州市零码汇信息科技有限公司,3-5年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-龙凤</a>"
Java后台开发工程师,本科及以上,15-30k·14薪,信用生活(广州)智能科技有限公司,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-海珠区</a>"
Java,本科及以上,6-12k·12薪,广州大白互联网科技有限公司,1-3年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州</a>"
Java后端开发工程师,本科及以上,15-30k·12薪,Fordeal,1-3年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州</a>"
资深java开发工程师/架构师,本科及以上,20-35k·12薪,上海翡翠东方网络信息技术有限公司,3-5年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州</a>"
Java开发工程师,本科及以上,12-25k·13薪,数果智能,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-天河区</a>"
后端开发（Java）,本科及以上,13-25k·12薪,腾云悦智科技(深圳)有限责任公司,3-5年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-天河区</a>"
Java架构师,本科及以上,30-40k·12薪,滴普科技,5-10年,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州-海珠区</a>"
Java开发工程师,统招本科,10-20k·13薪,广州佰锐网络科技有限公司,经验不限,"<a class=""area"" data-selector=""data-url"" href=""https://www.liepin.com/gz/zhaopin/"">广州</a>"
