法务兼任运营总监助理,广州广之旅海外咨询服务有限公司,广州-天河区,6-9千/月,07-25
电商运营总监（珠宝首饰类）,广州华锦信息技术有限公司,广州-天河区,30-40万/年,07-25
运营总监,广州航全电子科技有限公司,广州-番禺区,10-15万/年,07-25
运营经理/运营总监（会员CRM方向）,广东英朗信息技术有限公司,广州-越秀区,0.8-2万/月,07-25
运营总监,广州秉逢生物科技有限公司,广州-增城区,0.8-2.5万/月,07-25
电商运营总监,字节跳动,广州,4-7万/月,07-25
运营总监,广州云趣信息科技有限公司,广州-天河区,20-30万/年,07-25
天猫运营总监,广东顺和恒生物科技有限公司,广州,1.5-2万/月,07-25
电商运营总监/项目负责人,广州市万青年电子商务有限公司,广州-海珠区,20-40万/年,07-25
社群运营总监,广州头道惠网络科技有限公司,广州-番禺区,1-1.5万/月,07-25
市场运营总监,广州龙之韵舞蹈有限公司,广州-番禺区,1-1.5万/月,07-25
客户运营总监,广州市缨格轮贸易有限公司,广州-天河区,2.5-3万/月,07-25
亚马逊运营总监,广州川步电子技术有限公司,广州-天河区,2-3万/月,07-25
运营总监,广州通易科技有限公司,广州,1.5-2万/月,07-25
运营总监,领悟中国精准健康守护工程广东工程...,异地招聘,2-10万/月,07-25
集团运营总监,广州天河区洛萱医疗美容门诊有限公...,广州-天河区,3-4万/月,07-25
运营总监,广州吉宏园艺有限公司,异地招聘,0.8-1万/月,07-25
运营总监（产康运营总经理）,广州康贝乐生物科技有限公司,广州-白云区,40-50万/年,07-25
电商运营总监（美妆）,广州熙研生物科技有限公司,广州-白云区,1-5万/月,07-25
公众号运营总监（名膜壹号）,广州无添加主义化妆品有限公司,广州-天河区,1.5-2万/月,07-25
高薪聘请市场运营总监,广州唯学科技有限公司,广州-天河区,1-1.5万/月,07-25
运营总监私人助理,广东华宝矿机有限公司,广州-天河区,0.6-1万/月,07-25
运营总监,乐怡海创文化科技（广东）有限公司...,异地招聘,0.8-1万/月,07-25
电商运营总监,广州风驰电子科技有限公司,广州-番禺区,30-60万/年,07-25
生产运营总监,广州康普顿至高建材有限公司,广州,1.5-2.5万/月,07-25
高薪电商运营总监,广州野鹰电子科技有限公司,广州-白云区,2-3万/月,07-25
化妆品电商运营总监,广州市追梦生物科技有限公司,广州-白云区,1-1.5万/月,07-25
渠道运营总监,广东金品汇商业有限公司,广州-白云区,2-3万/月,07-25
新媒体运营总监,广东石榴王网络科技有限公司,广州-番禺区,2-2.5万/月,07-25
销售运营总监,广东星林家具有限公司,广州-白云区,1-1.5万/月,07-25
阿里/淘宝/天猫运营总监,广州合家健康管理有限公司,广州-越秀区,0.6-3万/月,07-25
运营总监,广州童程创客教育科技有限公司,广州-天河区,2.5-3万/月,07-25
品牌运营总监,广东双瀛品牌运营管理有限公司,广州-番禺区,40-50万/年,07-25
直播运营总监,广州逸仙电子商务有限公司,广州-海珠区,50-80万/年,07-25
运营总监一万五-两万社保,广州瑞橡贸易有限公司,广州-白云区,1.5-2万/月,07-25
新零售运营总监/经理,广州市李田贸易有限公司,广州-海珠区,1.2-1.8万/月,07-25
电商运营总监/网络运营总监（高薪+周末双休）,广州江水清智能科技有限公司,广州-天河区,1.2-2.5万/月,07-25
天猫运营总监,广州蔻美化妆品科技有限公司,广州-白云区,50-100万/年,07-25
食堂运营总监,广州市德润餐饮管理有限公司,广州-增城区,1.2-1.5万/月,07-25
新媒体短视频运营总监/经理,广州欧路生物科技有限公司,广州-海珠区,1-1.5万/月,07-25
孵化器园区运营总监,广州瑞辉生物科技股份有限公司,广州-黄埔区,1.2-2万/月,07-25
景区运营总监,晋商联盟（大同）文化旅游有限公司...,异地招聘,1.5-3万/月,07-25
电商运营总监,广州链出行汽车租赁有限公司,广州-番禺区,2-2.5万/月,07-25
电商运营总监,广州五联之星办公耗材有限公司,广州,1-1.5万/月,07-25
运营总监,广州上知建筑装饰设计有限公司,广州-天河区,6-8千/月,07-25
运营总监,广州伊涵文化传媒有限公司,广州-天河区,1-1.5万/月,07-25
运营总监/经理,广东华泰教育科技股份有限公司,广州-黄埔区,1.5-2万/月,07-25
